Time(s),HeartRate(1/min),TotalLungVolume(mL),RespirationRate(1/min),BloodVolume(mL)
8.28,72.015850,2243.130263,12.096774,5492.445016
8.30,72.015850,2243.092052,12.096774,5492.445643
8.32,72.015850,2243.059961,12.096774,5492.446248
8.34,72.015850,2243.033010,12.096774,5492.446837
8.36,72.015850,2243.010375,12.096774,5492.447417
8.38,72.015850,2242.991365,12.096774,5492.447992
8.40,72.015850,2242.975400,12.096774,5492.448566
8.42,72.015850,2242.961992,12.096774,5492.449143
8.44,72.015850,2242.950732,12.096774,5492.449731
8.46,72.015850,2242.941275,12.096774,5492.450338
8.48,72.015850,2242.933333,12.096774,5492.450966
8.50,72.015850,2242.926663,12.096774,5492.451614
8.52,72.015850,2242.921061,12.096774,5492.452283
8.54,72.015850,2242.916357,12.096774,5492.452972
8.56,72.015850,2242.912406,12.096774,5492.453682
8.58,72.015850,2242.909088,12.096774,5492.454411
8.60,72.015850,2242.906302,12.096774,5492.455160
8.62,72.015850,2242.903962,12.096774,5492.455929
8.64,72.015850,2242.901997,12.096774,5492.456717
8.66,72.015850,2242.900346,12.096774,5492.457524
8.68,72.015850,2242.898960,12.096774,5492.458349
8.70,72.015850,2242.897796,12.096774,5492.459192
8.72,72.015850,2242.896818,12.096774,5492.460054
8.74,72.015850,2242.895997,12.096774,5492.460932
8.76,72.015850,2242.895308,12.096774,5492.461828
8.78,72.015850,2242.894729,12.096774,5492.462741
8.80,72.015850,2242.894243,12.096774,5492.463671
8.82,72.015850,2242.893834,12.096774,5492.464616
8.84,72.015850,2242.893491,12.096774,5492.465578
8.86,72.015850,2242.893203,12.096774,5492.466556
8.88,72.015850,2242.892961,12.096774,5492.467548
8.90,72.016686,2242.892758,12.096774,5492.468557
8.92,72.016686,2242.892587,12.096774,5492.469580
8.94,72.016686,2242.892444,12.096774,5492.470617
8.96,72.016686,2242.892324,12.096774,5492.471668
8.98,72.016686,2242.892223,12.096774,5492.472700
9.00,72.016686,2242.892138,12.096774,5492.473687
9.02,72.016686,2242.892067,12.096774,5492.474613
9.04,72.016686,2242.892007,12.096774,5492.475474
9.06,72.016686,2242.891957,12.096774,5492.476272
9.08,72.016686,2242.891914,12.096774,5492.477014
9.10,72.016686,2242.891879,12.096774,5492.477708
9.12,72.016686,2242.891849,12.096774,5492.478364
9.14,72.016686,2242.891824,12.096774,5492.478991
9.16,72.016686,2242.891803,12.096774,5492.479595
9.18,72.016686,2242.891785,12.096774,5492.480185
9.20,72.016686,2242.891771,12.096774,5492.480765
9.22,72.016686,2242.891758,12.096774,5492.481340
9.24,72.016686,2242.891748,12.096774,5492.481914
9.26,72.016686,2242.891739,12.096774,5492.482491
9.28,72.016686,2242.891732,12.096774,5492.483079
9.30,72.016686,2242.891725,12.096774,5492.483686
9.32,72.016686,2242.891720,12.096774,5492.484314
9.34,72.016686,2242.891716,12.096774,5492.484962
9.36,72.016686,2242.891712,12.096774,5492.485631
9.38,72.016686,2242.891709,12.096774,5492.486320
9.40,72.016686,2242.891707,12.096774,5492.487030
